time_ms,position_mm,error_nm,phase,velocity_ms
0.0100,0.00000098,9999999.0193,1,0.00019613
1.0100,0.01000376,9989996.2363,1,0.01980943
2.0100,0.03961985,9960380.1533,1,0.03942273
3.0100,0.08884923,9911150.7703,1,0.05903603
4.0100,0.15769191,9842308.0873,1,0.07864933
5.0100,0.24614790,9753852.1043,1,0.09826263
6.0100,0.35421718,9645782.8213,1,0.11787593
7.0100,0.48189976,9518100.2383,1,0.13748923
8.0100,0.62919564,9370804.3553,1,0.15710253
9.0100,0.79610483,9203895.1723,1,0.17671583
10.0100,0.98262731,9017372.6893,1,0.19632913
11.0100,1.18876309,8811236.9063,1,0.21594243
12.0100,1.41451218,8585487.8233,1,0.23555573
13.0100,1.65987456,8340125.4403,1,0.25516903
14.0100,1.92485024,8075149.7573,1,0.27478233
15.0100,2.20943923,7790560.7743,1,0.29439563
16.0100,2.51364151,7486358.4913,1,0.31400893
17.0100,2.83745709,7162542.9083,1,0.33362223
18.0100,3.18088597,6819114.0253,1,0.35323553
19.0100,3.54392816,6456071.8423,1,0.37284883
20.0100,3.92658364,6073416.3593,1,0.39246213
21.0100,4.32885242,5671147.5763,1,0.41207543
22.0100,4.75073451,5249265.4933,1,0.43168873
23.0100,5.18873295,4811267.0456,2,0.43466319
24.0100,5.61347512,4386524.8832,2,0.41485420
25.0100,6.01848400,3981515.9986,2,0.39517660
26.0100,6.40384468,3596155.3159,2,0.37554954
27.0100,6.76958874,3230411.2607,2,0.35594005
28.0100,7.11572624,2884273.7558,2,0.33633520
29.0100,7.44225908,2557740.9167,2,0.31673030
30.0100,7.74918635,2250813.6476,2,0.29712396
31.0100,8.03650646,1963493.5388,2,0.27751600
32.0100,8.30421788,1695782.1158,2,0.25790664
33.0100,8.55231938,1447680.6247,2,0.23829619
34.0100,8.78080998,1219190.0152,2,0.21868492
35.0100,8.98968901,1010310.9854,2,0.19907306
36.0100,9.17895596,821044.0390,2,0.17946078
37.0100,9.34861046,651389.5350,2,0.15984819
38.0100,9.49865227,501347.7278,2,0.14023539
39.0100,9.62908120,370918.7968,2,0.12062245
40.0100,9.73989713,260102.8683,2,0.10100940
41.0100,9.83109997,168900.0311,2,0.08139627
42.0100,9.90268965,97310.3475,2,0.06178309
43.0100,9.95466614,45333.8612,2,0.04216988
44.0100,9.98702940,12970.6029,2,0.02255664
45.0100,9.99977941,220.5941,2,0.00294338
46.0100,9.99990042,99.5757,3,-0.00005996
47.0100,9.99987735,122.6502,3,0.00000261
48.0100,9.99989132,108.6809,3,0.00002102
49.0100,9.99991407,85.9292,3,0.00002298
50.0100,9.99993559,64.4056,3,0.00001966
51.0100,9.99995308,46.9169,3,0.00001531
52.0100,9.99996638,33.6219,3,0.00001140
53.0100,9.99997615,23.8544,3,0.00000828
54.0100,9.99998319,16.8128,3,0.00000593
55.0100,9.99998821,11.7916,3,0.00000421
56.0100,9.99999177,8.2341,3,0.00000297
57.0100,9.99999428,5.7234,3,0.00000210
58.0100,9.99999604,3.9556,3,0.00000147
59.0100,9.99999729,2.7127,3,0.00000104
60.0100,9.99999816,1.8396,3,0.00000073
61.0100,9.99999877,1.2266,3,0.00000051
62.0100,9.99999920,0.7964,3,0.00000036
63.0100,9.99999951,0.4945,3,0.00000025
64.0100,9.99999972,0.2826,3,0.00000018
65.0100,9.99999987,0.1340,3,0.00000012
65.3100,9.99999990,0.0988,4,0.00000011
66.3100,9.99999999,0.0051,4,0.00000008
67.3100,10.00000006,-0.0553,4,0.00000004
68.3100,10.00000008,-0.0781,4,0.00000001
69.3100,10.00000008,-0.0768,4,-0.00000001
70.3100,10.00000007,-0.0652,4,-0.00000001
71.3100,10.00000005,-0.0513,4,-0.00000001
72.3100,10.00000004,-0.0386,4,-0.00000001
73.3100,10.00000003,-0.0283,4,-0.00000001
74.3100,10.00000002,-0.0204,4,-0.00000001
75.3100,10.00000001,-0.0146,4,-0.00000000
76.3100,10.00000001,-0.0103,4,-0.00000000
77.3100,10.00000001,-0.0073,4,-0.00000000
78.3100,10.00000001,-0.0051,4,-0.00000000
79.3100,10.00000000,-0.0036,4,-0.00000000
80.3100,10.00000000,-0.0025,4,-0.00000000
81.3100,10.00000000,-0.0018,4,-0.00000000
82.3100,10.00000000,-0.0012,4,-0.00000000
83.3100,10.00000000,-0.0009,4,-0.00000000
84.3100,10.00000000,-0.0006,4,-0.00000000
85.3100,10.00000000,-0.0004,4,-0.00000000
86.3100,10.00000000,-0.0003,4,-0.00000000
87.3100,10.00000000,-0.0002,4,-0.00000000
88.3100,10.00000000,-0.0001,4,-0.00000000
89.3100,10.00000000,-0.0001,4,-0.00000000
90.3100,10.00000000,-0.0001,4,-0.00000000
91.3100,10.00000000,-0.0000,4,-0.00000000
92.3100,10.00000000,-0.0000,4,-0.00000000
93.3100,10.00000000,-0.0000,4,-0.00000000
94.3100,10.00000000,-0.0000,4,-0.00000000
95.3100,10.00000000,-0.0000,4,-0.00000000
96.3100,10.00000000,-0.0000,4,-0.00000000
97.3100,10.00000000,0.0000,4,-0.00000000
98.3100,10.00000000,0.0000,4,-0.00000000
99.3100,10.00000000,0.0000,4,0.00000000
100.3100,10.00000000,0.0000,4,0.00000000
101.3100,10.00000000,0.0000,4,0.00000000
102.3100,10.00000000,0.0000,4,0.00000000
103.3100,10.00000000,0.0000,4,0.00000000
104.3100,10.00000000,0.0000,4,0.00000000
105.3100,10.00000000,0.0000,4,0.00000000
106.3100,10.00000000,0.0000,4,0.00000000
107.3100,10.00000000,0.0000,4,0.00000000
108.3100,10.00000000,0.0000,4,0.00000000
109.3100,10.00000000,0.0000,4,0.00000000
110.3100,10.00000000,0.0000,4,0.00000000
111.3100,10.00000000,0.0000,4,0.00000000
112.3100,10.00000000,0.0000,4,0.00000000
113.3100,10.00000000,0.0000,4,0.00000000
114.3100,10.00000000,0.0000,4,0.00000000
115.3100,10.00000000,0.0000,4,0.00000000
116.3100,10.00000000,0.0000,4,0.00000000
117.3100,10.00000000,0.0000,4,0.00000000
118.3100,10.00000000,0.0000,4,0.00000000
119.3100,10.00000000,0.0000,4,0.00000000
120.3100,10.00000000,0.0000,4,0.00000000
121.3100,10.00000000,0.0000,4,0.00000000
122.3100,10.00000000,0.0000,4,0.00000000
123.3100,10.00000000,0.0000,4,0.00000000
124.3100,10.00000000,0.0000,4,0.00000000
125.3100,10.00000000,0.0000,4,0.00000000
126.3100,10.00000000,0.0000,4,0.00000000
127.3100,10.00000000,0.0000,4,0.00000000
128.3100,10.00000000,0.0000,4,0.00000000
129.3100,10.00000000,0.0000,4,0.00000000
130.3100,10.00000000,0.0000,4,0.00000000
131.3100,10.00000000,0.0000,4,0.00000000
132.3100,10.00000000,0.0000,4,0.00000000
133.3100,10.00000000,0.0000,4,0.00000000
134.3100,10.00000000,0.0000,4,0.00000000
135.3100,10.00000000,0.0000,4,0.00000000
136.3100,10.00000000,0.0000,4,0.00000000
137.3100,10.00000000,0.0000,4,0.00000000
138.3100,10.00000000,0.0000,4,0.00000000
139.3100,10.00000000,0.0000,4,0.00000000
140.3100,10.00000000,0.0000,4,0.00000000
141.3100,10.00000000,0.0000,4,0.00000000
142.3100,10.00000000,0.0000,4,0.00000000
143.3100,10.00000000,0.0000,4,0.00000000
144.3100,10.00000000,0.0000,4,0.00000000
145.3100,10.00000000,0.0000,4,0.00000000
146.3100,10.00000000,0.0000,4,0.00000000
147.3100,10.00000000,0.0000,4,0.00000000
148.3100,10.00000000,0.0000,4,0.00000000
149.3100,10.00000000,0.0000,4,0.00000000
150.3100,10.00000000,0.0000,4,0.00000000
151.3100,10.00000000,0.0000,4,0.00000000
152.3100,10.00000000,0.0000,4,0.00000000
153.3100,10.00000000,0.0000,4,0.00000000
154.3100,10.00000000,0.0000,4,0.00000000
155.3100,10.00000000,0.0000,4,0.00000000
156.3100,10.00000000,0.0000,4,0.00000000
157.3100,10.00000000,0.0000,4,0.00000000
158.3100,10.00000000,0.0000,4,0.00000000
159.3100,10.00000000,0.0000,4,0.00000000
160.3100,10.00000000,0.0000,4,0.00000000
161.3100,10.00000000,0.0000,4,0.00000000
162.3100,10.00000000,0.0000,4,0.00000000
163.3100,10.00000000,0.0000,4,0.00000000
164.3100,10.00000000,0.0000,4,0.00000000
